1301/Caigual/21B/100NCD90/DSC_0087.JPG,A-MCA-104K-01/21/13,A-MC7K04K-01/21/13,MCA-1O4K-01/21/13
1301/Upper Lalaja/2A/100NCD60/DSC_1833.JPG,MUL-3545-02/02/13,MUL-3S4S-02/02/13,MUL-3F4F-02/02/13
1301/Upper Lalaja/2B/102NCD90/DSC_0053.JPG,FUL-2V3G-02/02/13,FUL-2V3G-02/02/13,FUL-2V3G-02/02/13
1301/Lower Lalaja/27B/100NCD90/DSC_0085.JPG,FLL-3U8R-01/27/13,FLL-3V8R-01/27/13,FLL-3U8R-01/27/13
1301/Lower Lalaja/28B/100NCD90/DSC_0011.JPG,FLL-4P7R-01/28/13,FLL-4P7R-01/28/13,FLL-4P7R-01/28/13
1301/Lower Lalaja/27A/100NCD60/DSC_1616.JPG,MLL-3-PLAW-01/27/13,MLL-3PLAW-01/27/13,MLL-3P6W-01/27/13
1301/Lower Lalaja/27B/100NCD90/DSC_0004.JPG,FLL-34665-01/27/13,FLL-3Y6G5-01/27/13,FLL-3Y6G-01/27/13
1301/Taylor/23A/100NCD60/DSC_1303.JPG,MTY-2RSR-01/23/13-||||,MTY-2R5R-01/23/13,MTY-2R5R-01/23/13
1301/Taylor/24A/100NCD90/DSC_0040.JPG,FTY-ZB7V-01/24/13,FTY-2B7V-01/24/13,FTY=2B7V-01/24/13
1301/Taylor/23B/100NCD90/DSC_0139.JPG,FTY-IRAP-01/23/13,FTY-1R7P-01/23/13,FTY-1R7P-01/23/13
1301/Upper Lalaja/2A/100NCD60/DSC_1783.JPG,MUL-208-F-02/02/13,MUL-2O8F-02/02/13,MUL-208F-02/02/13
1301/Taylor/23A/100NCD60/DSC_1423.JPG,MTY-4W5P-01/23/13,MTY-4W5P-01/23/13,MTY-4W5P-01/23/13
1301/Lower Lalaja/28B/100NCD90/DSC_0069.JPG,FLL-6086-01/28/13,FLL-6O8G-01/28/13,FLL-6O8G-01/28/13
1301/Taylor/23B/100NCD90/DSC_0047.JPG,FTY-1041-01/23/13,FTY-1O4K-01/23/13,FTY-1O4K-01/23/13
1301/Taylor/23B/100NCD90/DSC_0195.JPG,FTY-ZP8V-01/23/13,FTY-2P8V-01/23/13,FTY-2P8V-01/23/13
1301/Taylor/23B/100NCD90/DSC_0019.JPG,FTY-9074-01/23/13,FTY-9O7Y-01/23/13,FTY-4O7Y-01/23/13
1301/Lower Lalaja/27A/100NCD60/DSC_1677.JPG,MLL-667K-01/27/13,MLL-6G7K-01/27/13,MLL-6G7K-01/27/13
1301/Upper Lalaja/2A/100NCD60/DSC_1896.JPG,26-FUL-6GEG-02/02/13,1-FVLG6EG-02/02/13,FUL-6G8G-02/02/13
1301/Taylor/23A/100NCD60/DSC_1396.JPG,IK2B-01/23/13,1--01/23/13,1
1301/Upper Lalaja/4A/100NCD90/DSC_0077.JPG,FUL-6R8N-002/04/13,FUL-6R8N-002/04/13,FUL-6R8N-002/04/13
1301/Upper Lalaja/2B/102NCD90/DSC_0124.JPG,FUL-ZGSG-2-02/02/13,FUL-2G5G2-02/02/13,FUL-2G5G-02/02/13
